path,count,file_count,types,droidbot_count,haptest_count,sample1,sample2,sample3
from.viewTree.root.checked,102,102,bool,0,102,False,False,False
from.viewTree.root.clickable,102,102,bool,0,102,False,False,False
from.viewTree.root.enabled,102,102,bool,0,102,True,True,True
from.viewTree.root.focused,102,102,bool,0,102,True,True,True
from.viewTree.root.hint,102,102,str,0,102,'','',''
from.viewTree.root.id,102,102,str,0,102,'','',''
from.viewTree.root.key,102,102,str,0,102,'','',''
from.viewTree.root.longClickable,102,102,bool,0,102,False,False,False
from.viewTree.root.origBounds,102,102,list,0,102,,,
from.viewTree.root.origBounds[],102,102,list,0,102,,,
from.viewTree.root.scrollable,102,102,bool,0,102,False,False,False
from.viewTree.root.selected,102,102,bool,0,102,False,False,False
from.viewTree.root.text,102,102,str,0,102,'','',''
from.viewTree.root.type,102,102,str,0,102,'root','root','root'
from.viewTree.root.visible,102,102,bool,0,102,True,True,True
event.point,101,101,object,0,101,,,
event.point.x,101,101,int,0,101,1073,917,917
event.point.y,101,101,int,0,101,217,217,217
event.component,90,90,object,0,90,,,
event.component.bounds,90,90,list,0,90,,,
event.component.bounds[],90,90,list,0,90,,,
event.component.checkable,90,90,bool,0,90,False,False,False
event.component.checked,90,90,bool,0,90,False,False,False
event.component.children,90,90,list,0,90,,,
event.component.children[],90,90,list,0,90,,,
event.component.clickable,90,90,bool,0,90,True,True,True
event.component.enabled,90,90,bool,0,90,True,True,True
event.component.focused,90,90,bool,0,90,False,False,False
event.component.hint,90,90,str,0,90,'','',''
event.component.id,90,90,str,0,90,'','',''
event.component.key,90,90,str,0,90,'','',''
event.component.longClickable,90,90,bool,0,90,False,False,False
event.component.origBounds,90,90,list,0,90,,,
event.component.origBounds[],90,90,list,0,90,,,
event.component.scrollable,90,90,bool,0,90,False,False,False
event.component.selected,90,90,bool,0,90,False,False,False
event.component.text,90,90,str,0,90,'','',''
event.component.type,90,90,str,0,90,'Row','Row','Row'
event.component.visible,90,90,bool,0,90,True,True,True
event.view.bounds[][],86,43,list,86,0,,,
event.component.children[].children[].children[].bounds[].x,66,4,int,0,66,91,170,209
event.component.children[].children[].children[].bounds[].y,66,4,int,0,66,461,539,470
event.component.children[].children[].children[].origBounds[].x,66,4,int,0,66,91,170,209
event.component.children[].children[].children[].origBounds[].y,66,4,int,0,66,461,539,470
event.component.children[].bounds[].x,46,23,int,0,46,1034,1113,878
event.component.children[].bounds[].y,46,23,int,0,46,178,256,178
event.component.children[].origBounds[].x,46,23,int,0,46,1034,1113,878
event.component.children[].origBounds[].y,46,23,int,0,46,178,256,178
event.view,43,43,object,43,0,,,
event.view.bounds,43,43,list,43,0,,,
event.view.bounds[],43,43,list,43,0,,,
event.view.checkable,43,43,bool,43,0,False,False,False
event.view.checked,43,43,bool,43,0,False,False,False
event.view.child_count,43,43,int,43,0,0,0,1
event.view.children,43,43,list,43,0,,,
event.view.children[],43,43,list,43,0,,,
event.view.class,43,43,str,43,0,'android.widget.FrameLayout','android.widget.Button','android.widget.LinearLayout'
event.view.clickable,43,43,bool,43,0,False,True,True
event.view.content_description,43,43,"null,str",43,0,None,None,None
